Latitude,Longitude,CropType
46.303802991359255,-63.211756416217824,"Barley"
46.30575043946739,-63.212650919857246,"Clover"
46.311890098084895,-63.215384623542086,"Barley"
46.310072403034546,-63.217121466356005,"Corn"
46.31897926751591,-63.21727615104855,"Oats"
46.320265461944544,-63.21545293826783,"Clover"
46.32167771867295,-63.21469916817872,"Pasture"
46.32399704896951,-63.21393009959905,"Pasture"
46.32671320353329,-63.215015140922254,"Abandoned Agricultural Land"
46.33078305951554,-63.213752723335425,"Soybean"
46.332179401682325,-63.212617363427356,"Pasture"
46.3330321814022,-63.21583977252585,"Oats"
46.33485170200067,-63.21533474917129,"Oats"
46.33650152627033,-63.21463719004552,"Alfalfa"
46.33748278397721,-63.215930541952496,"Pasture"
46.3424329516059,-63.21631327350461,"Pasture"
46.349845938229684,-63.219614152317945,"Barley"
46.35444005771248,-63.22130366534364,"Pasture"
46.356749426868866,-63.22247023225392,"Clover"
46.358609935854446,-63.225755185036036,"Potato"
46.363218041408615,-63.228345136098206,"Potato"
46.362608485349796,-63.22781912141915,"Barley"
46.36449510521526,-63.225703471132235,"Barley"
46.36657899338738,-63.22656041196336,"Timothy"
46.36917756960365,-63.229644508334495,"Oats"
46.37528148429768,-63.23252457373518,"Buckwheat"
46.374171436385964,-63.23142910598627,"Timothy"
46.377735812430466,-63.23297873524165,"Clover"
46.38030399049514,-63.23243967738928,"Buckwheat"
46.38348756942631,-63.23416197239778,"Corn"
46.39399247208862,-63.22726081890254,"Soybean"
46.394431307236275,-63.22513331815849,"Timothy"
46.39565796090274,-63.22524488386491,"Soybean"
46.3974095363196,-63.22358038508477,"Soybean"
46.39703505827452,-63.22100594787192,"Timothy"
46.40171350061817,-63.215258326979075,"Barley"
46.40256266166786,-63.205236700392135,"Soybean"
46.40168720190355,-63.20983926278319,"Soybean"
46.40359917827014,-63.20590250527044,"Oats"
46.40404092702282,-63.20331346102286,"Oats"
46.40279490706085,-63.19459459476651,"Abandoned Agricultural Land"
46.39323706696254,-63.190086647803746,"Barley"
46.39134123313401,-63.19075396742996,"Barley"
46.37999680308173,-63.18382984570144,"Barley"
46.378131876189045,-63.18293230626714,"Pasture"
46.376732037319805,-63.18042176843454,"Timothy"
46.37253861564932,-63.18004650161509,"Corn"
46.37105238153921,-63.179036563693415,"Corn"
46.36973167001289,-63.17698380370889,"Wheat - Winter"
46.36931973042669,-63.178555968927995,"Potato"
46.367498617281775,-63.17541403154471,"Wheat - Winter"
46.36749948811048,-63.17771250875186,"Potato"
46.364536272419556,-63.17572023740203,"Timothy"
46.363623637686054,-63.16822274590785,"Wheat - Winter"
46.36440966998213,-63.16890900231043,"Abandoned Agricultural Land"
46.36488619921683,-63.16027128564464,"Pasture"
46.36708936505792,-63.155842004815966,"Timothy"
46.36745153628125,-63.14839221494273,"Clover"
46.3620065934535,-63.14682005419216,"Carrot"
46.35990554012448,-63.146985056519945,"Timothy"
46.36014505136808,-63.14573557585269,"Pasture"
46.357922493225836,-63.14473554559783,"Carrot"
46.355087477439476,-63.143472004351636,"Abandoned Agricultural Land"
46.35160692243799,-63.14030910708979,"Corn"
46.346108746673764,-63.139052433972864,"Pasture"
46.34398253218779,-63.141099867097395,"Pasture"
46.33942281302244,-63.13907471528817,"Barley"
46.33620476077776,-63.13804604469617,"Clover"
46.33672285477785,-63.13476106224652,"Clover"
46.32984102323645,-63.13501701839463,"Corn"
46.3253459306477,-63.13127127807043,"Wheat - Winter"
46.323699094269635,-63.13266697594293,"Barley"
46.32389796323825,-63.13040399335624,"Wheat - Winter"
46.32104347474863,-63.13137063526769,"Potato"
46.31123412570321,-63.1285428390305,"Wheat - Winter"
46.309846917266086,-63.127411176632215,"Pumpkin / Squash"
46.30953199927292,-63.12518630766989,"Wheat - Winter"
46.30542178473866,-63.1253769363754,"Potato"
46.2631276016711,-63.19872765525232,"Corn"
46.26573404872288,-63.20521571599181,"Corn"
46.26602038817451,-63.20297009259841,"Corn"
46.27019763578858,-63.20677016753064,"Oats"
46.26975657350374,-63.21046480321121,"Timothy"
46.27277605454902,-63.21373373027359,"Orchards - Apple"
46.2748001314939,-63.213503577729405,"Soybean"
46.27566900911759,-63.215859034792544,"Orchards - Apple"
46.27932642154691,-63.21971256271861,"Timothy"
46.281482996672636,-63.218550231914584,"Abandoned Agricultural Land"
46.282684077567765,-63.22241997831297,"Potato"
46.286621249381724,-63.22150761542959,"Barley"
46.28722893909233,-63.2258890209488,"Wheat - Spring"
46.29240979158192,-63.224414335807474,"Pasture"
46.303524762196304,-63.21786011023432,"Abandoned Agricultural Land"
46.305160665175435,-63.22155120561539,"Soybean"
46.30598969518691,-63.22477891191304,"Soybean"
46.308299087851346,-63.22700636058185,"Timothy"
46.31227420678814,-63.23836637128504,"Barley"
